chr	RPE1	LS513	SW48	LOVO	CL11
chr1p	2	2	2	2	2
chr1q	2	3	2	2	2
chr2p	2	2	2	2	2
chr2q	2	2	2	2	2
chr3p	2	2	2	2	2
chr3q	2	2	2	2	2
chr4p	2	2	2	2	2
chr4q	2	2	2	2	2
chr5p	2	3	2	3	2
chr5q	2	3	2	2	2
chr6p	2	2	2	2	1
chr6q	2	2	2	2	1
chr7p	2	3	3	3	3
chr7q	2	3	3	3	3
chr8p	2	2	2	2	2
chr8q	2	2	2	2	2
chr9p	2	3	2	2	2
chr9q	2	3	2	2	2
chr10p	2	2	2	2	2
chr10q	3	2	2	2	2
chr11p	2	2	2	2	2
chr11q	2	2	2	2	2
chr12p	2	2	2	3	2
chr12q	2	2	2	3	2
chr13q	2	4	2	2	2
chr14q	2	2	3	2	2
chr15q	2	2	2	3	2
chr16p	2	2	2	2	2
chr16q	2	2	2	2	2
chr17p	2	2	2	2	1
chr17q	2	2	2	2	1
chr18p	2	2	2	2	1
chr18q	2	2	2	2	1
chr19p	2	2	2	2	2
chr19q	2	2	2	2	2
chr20p	2	2	2	2	2
chr20q	2	2	2	2	2
chr21q	2	2	2	2	2
chr22q	2	2	2	2	1
chrXp	2	1	1	1	1
chrXq	2	1	1	1	1
